Camisa rayada,CHEST,Marron,Algodon,MEDIUM,SEMIFORMAL,Camisa manga larga,M,camisa8.png,Lacoste,WORK/ELEGANT_SPORT
Camisa a cuadros,CHEST,Marron-Celeste,Algodon,MEDIUM,SEMIFORMAL,Camisa manga larga,M,camisa9.png,Zara,NIGHT_OUT/WORK
Camisa a cuadros,CHEST,Azul-Blanca,Algodon,MEDIUM,SEMIFORMAL,Camisa a cuadros para trabajr,M,camisa10.png,Zara,NIGHT_OUT/WORK
Camisa a cuadros,CHEST,Rosa-Azul,Algodon,MEDIUM,SEMIFORMAL,Camisa a cuadros para salir,M,camisa11.png,Zara,NIGHT_OUT/WORK
Camisa rayada,CHEST,Azul-Blanca,Algodon,MEDIUM,FORMAL,Camisa rayada ,M,camisa12.png,Zara,ELEGANT_SPORT/WORK
Campera mucho frio,CHEST3,Gris,Polar,SNOWING,INFORMAL,Campera para nieve lluvia abrigada,L,campera1.png,Columbia,RAIN/MOUNTAIN
Campera frio extremo,CHEST3,Negro,Plumas,MAXIMUM,SEMIFORMAL,Campera muy abrigada ,L,campera2.png,J.L.Beans,SNOW/MOUNTAIN
Gorra Nike azul,HEAD,Azul,Poliester,NOTHING,SPORTS,Gorra nike,M,gorra1.png,Nike,EVERYDAY
Gorra Nike Golf negra,HEAD,Negro,Poliester,NOTHING,SPORTS,Gorra nike,M,gorra2.png,Nike,EVERYDAY/TENNIS
Gorra Despegar,HEAD,Violeta,Poliester,NOTHING,SPORTS,Gorra chula despegar,M,gorra3.png,DespGorra,EVERYDAY
Gorro Polar Nike,HEAD,Rojo,Polar,FREEZING,SPORTS,Gorro abrigado,M,gorrito1.png,Nike,SNOW/MOUNTAIN
Guante Nieve,HANDS,Verde,Polar,FREEZING,SPORTS,Guante para nieve,M,guante1.png,Glooves,SNOW/MOUNTAIN
Guante Nieve,HANDS,Marron,Polar,FREEZING,SPORTS,Guante para nieve,M,guante2.png,Glooves,SNOW/MOUNTAIN
Guante Nieve,HANDS,Azul,Polar,FREEZING,SPORTS,Guante para nieve,M,guante3.png,Glooves,SNOW/MOUNTAIN
Jogging,LEGS,Negro,Nylon,NEWWINTER,HOME,Joggin entrecasa,32x32,jogging1.png,Pony,HOME/EVERYDAY
Malla Colorida,LEGS,Multicolor,Poliester,HOTSUMMER,INFORMAL,Malla para playa,M,malla1.png,Water,BEACH/WATER
Malla Adidas,LEGS,Azul-Negro,Poliester,HOTSUMMER,INFORMAL,Malla para playa,M,malla2.png,Adidas,BEACH/WATER
Moño formal,NECK,Negro,Polester,NOTHING,VERYFORMAL,Mono para traje,-,mono.png,Polo,VERY_ELEGANT
Musculosa Basket,CHEST,Rojo,Nylon,HOTSUMMER,SPORTS,Musculosa para hacer deporte,L,musculosa1.png,Nike,SPORTS
Musculosa RD,CHEST,Verde,algodon,HOTSUMMER,SPORTS,Musculosa de republica dominicana,M,musculosa2.png,RD,EVERYDAY/WATER
Musculosa Vans,CHEST,Blanca,algodon,HOTSUMMER,SPORTS,Musculosa para la playa,M,musculosa3.png,Vans,BEACH/WATER
Musuclosa 00,CHEST,Gris,algodon,HOTSUMMER,SPORTS,Musculosa de playa,M,musculosa4.png,CeroCero,BEACH/WATER
Pantalon Largo ,LEGS,Azul,algodon,HUMIDWINTER,FORMAL,Pantalon para trabajar,32x34,panatalon1.png,GAP,WORK/NIGHT_OUT
Pantalon Largo ,LEGS,Blanco,algodon,HUMIDWINTER,FORMAL,Pantalon para trabajar,32x34,panatalon2.png,GAP,WORK/NIGHT_OUT
Jean 1,LEGS,Celeste,algodon,MEDIUM,INFORMAL,Pantalon para cualquier ocasion,32x34,panatalon3.png,Levis,WORK/NIGHT_OUT
Pantalon Largo ,LEGS,Violeta,algodon,HUMIDWINTER,FORMAL,Pantalon para cualquier ocasion,32x34,panatalon4.png,GAP,WORK/NIGHT_OUT
Pantalon Largo ,LEGS,Verde,algodon,MEDIUM,INFORMAL,Pantalon para cualquier ocasion,32x34,panatalon5.png,GAP,WORK/EVERYDAY
Pantalon Largo ,LEGS,Negro,algodon,HUMIDWINTER,INFORMAL,Pantalon para cualquier ocasion,32x34,panatalon6.png,Levis,WORK/EVERYDAY
Pantalon Largo ,LEGS,Azul,algodon,HUMIDWINTER,INFORMAL,Pantalon para cualquier ocasion,32x34,panatalon7.png,GAP,WORK/NIGHT_OUT
Pantalon Largo ,LEGS,Marron,algodon,MEDIUM,INFORMAL,Pantalon para cualquier ocasion,32x34,panatalon8.png,GAP,NIGHT_OUT/EVERYDAY
Pantalon Verde Lacoste,LEGS,Verde ,algodon,MEDIUM,FORMAL,Pantalon para cualquier ocasion,32x34,panatalon9.png,Lacoste,ELEGANT_SPORT
Pantalon Traje Negro,LEGS,Negro,algodon,MEDIUM,VERYFORMAL,Pantalon de traje,32x34,pantalonTraje.png,GAP,VERY_ELEGANT
Remera 1,CHEST,Fucsia,algodon,SUMMERNIGHT,INFORMAL,Remera para todo momento,M,remera1.png,T-shirt,EVERYDAY
Remera 2,CHEST,Negro,algodon,SUMMERNIGHT,SEMIFORMAL,Chomba,M,remera2.png,Gap,EVERYDAY
Remera 3,CHEST,Rojo,algodon,SUMMERNIGHT,SEMIFORMAL,Chomba,M,remera3.png,Lacoste,NIGHT_OUT/WORK
Remera 4,CHEST,Amarillo,algodon,SUMMERNIGHT,SEMIFORMAL,Chomba,M,remera4.png,T-shirt,EVERYDAY/WORK
Remera 5,CHEST,Gris,algodon,SUMMERNIGHT,INFORMAL,Remera para todo momento,M,remera5.png,Polo,EVERYDAY
Remera 6,CHEST,Gris,algodon,SUMMERNIGHT,INFORMAL,Remera para todo momento,M,remera6.png,Efecto Uno,EVERYDAY
Remera 7,CHEST,Gris,algodon,SUMMERNIGHT,SEMIFORMAL,Chomba,M,remera7.png,Lacoste,EVERYDAY
Remera Australia,CHEST,Azul,algodon,SUMMERNIGHT,INFORMAL,Remera para todo momento,M,remera8.png,Austaralia,EVERYDAY
Remera 9,CHEST,Verde,algodon,SUMMERNIGHT,INFORMAL,Remera para todo momento,M,remera9.png,Dockers,EVERYDAY
Remera 10,CHEST,Rojo,algodon,SUMMERNIGHT,SEMIFORMAL,Remera para todo momento,M,remera10.png,Polo,EVERYDAY
Remera 11,CHEST,Azul,algodon,SUMMERNIGHT,SEMIFORMAL,Chomba,M,remera11.png,Gap,EVERYDAY
Remera 12,CHEST,Blanca,algodon,SUMMERNIGHT,INFORMAL,Camiseta Blanca todo momento,M,remera12.png,Dockers,EVERYDAY
Remera 13,CHEST,Rosa,algodon,SUMMERNIGHT,INFORMAL,Remera para todo momento,M,remera13.png,Polo,EVERYDAY/BEACH
Remera Sydney,CHEST,Oliva,algodon,SUMMERNIGHT,INFORMAL,Remera para todo momento,M,remera14.png,Sydney,EVERYDAY
Remera 15,CHEST,Gris,algodon,SUMMERNIGHT,INFORMAL,Remera para todo momento,M,remera15.png,Gap,EVERYDAY
Remera 16,CHEST,Gris-Blanca,algodon,SUMMERNIGHT,INFORMAL,Remera para todo momento,M,remera16.png,Gap,EVERYDAY/NIGHT_OUT
Remera 17,CHEST,Blanco,algodon,HOTSUMMER,SPORTS,Remera para hacer deporte,M,remera17.png,Adidas,RUNNING
Remera 18,CHEST,Celeste,algodon,HOTSUMMER,SPORTS,Remera para hacer deporte,M,remera18.png,Gap,SPORTS
Remera 19,CHEST,Naranja,algodon,HOTSUMMER,SPORTS,Remera para hacer deporte,M,remera19.png,Reebok,RUNNING
Remera Abrigo ,CHEST,Negro,algodon,FREEZING,INFORMAL,Remera de abrigo manga larga,M,remera20.png,Dockers,EVERYDAY
Camiseta de River,CHEST,Rojo-Blanco,algodon,SUMMERNIGHT,SPORTS,Remera de futbol,M,remera21.png,Adidas,FOOTBALL
Camiseta de Alemania,CHEST,Blanco,algodon,SUMMERNIGHT,SPORTS,Remera de Futbol,M,remera22.png,Adidas,FOOTBALL
Remera 23,CHEST,Verde,algodon,SUMMERNIGHT,SPORTS,Remera para hacer deporte,M,remera23.png,Olivos,TENNIS
Remera con flores,CHEST,Negro-Turquesa,algodon,SUMMERNIGHT,INFORMAL,Remera con flores divertida,M,remera24.png,SouthCoast,EVERYDAY/BEACH
Saco,CHEST2,Negro,algodon,NEWWINTER,SPORTS,Saco de traje,M,saco1.png,Polo,VERY_ELEGANT
Saco Corderoy,CHEST2,Negro,algodon,NEWWINTER,INFORMAL,Sago de traje,M,saco2.png,Polo,VERY_ELEGANT/ELEGANT_SPORT
Short con anclas,LEGS,Negro,algodon,WINDYSUNNY,INFORMAL,Short de verano,M,short1.png,Dockers,HOME/EVERYDAY
Short cuadriculado,LEGS,Blanco,algodon,WINDYSUNNY,INFORMAL,Short de verano,M,short2.png,Gap,HOME/EVERYDAY
Short liso,LEGS,Rosa,algodon,WINDYSUNNY,INFORMAL,Short de verano,M,short3.png,Aeropostale,HOME/EVERYDAY
Short liso,LEGS,Azul,algodon,WINDYSUNNY,INFORMAL,Short de verano,M,short4.png,Aeropostale,HOME/EVERYDAY
Short liso,LEGS,Marron,algodon,WINDYSUNNY,INFORMAL,Short de verano,M,short5.png,Aeropostale,HOME/EVERYDAY
Short Nike deportivo,LEGS,Negro,algodon,WINDYSUNNY,SPORTS,Short de deporte,M,short6.png,Nike,SPORTS/FOOTBALL
Sueter Gap fino,CHEST2,Gris,algodon,COLDSUMMER,SEMIFORMAL,Sueter para todo momento,M,sueter1.png,Gap,EVERYDAY/NIGHT_OUT
Sueter pinchudo,CHEST2,Azul,Lana,COLDSUMMER,SEMIFORMAL,Sueter mas para trabajr,M,sueter2.png,Wrangler,NIGHT_OUT/WORK
Botitas Timberland,FEETS,Mostaza,Gamuza,HUMIDWINTER,FORMAL,Botitas para salir,43,zapatilla1.png,Timberland,NIGHT_OUT/WORK
Zapatillas Vans clasicas,FEETS,Negro,Tela,MEDIUM,INFORMAL,Zapatillas para todo momento,43,zapatilla2.png,Vans,EVERYDAY/NIGHT_OUT
Zapatillas ,FEETS,Azul,Tela,MEDIUM,FORMAL,Zapatillas para todo momento,43,zapatilla3.png,Oggy,ELEGANT_SPORT/WORK
Zapatillas Vans clasicas,FEETS,Rojo,Tela,MEDIUM,INFORMAL,Zapatillas para todo momento,43,zapatilla4.png,Vans,EVERYDAY/NIGHT_OUT
Zapatillas Polo,FEETS,Beige,Tela,MEDIUM,SEMIFORMAL,Zapatillas para todo momento,43,zapatilla5.png,Polo,ELEGANT_SPORT/WORK
Zapatillas Vans clasicas,FEETS,Gris,Tela,MEDIUM,INFORMAL,Zapatillas para todo momento,43,zapatilla6.png,Vans,HOME/EVERYDAY
Zapatillas Nike deportiva,FEETS,Negro,Tela,HOTSUMMER,SPORTS,Zapatillas running,43,zapatilla7.png,Nike,SPORTS/RUNNING
Zapatillas Nike Running,FEETS,Negro,Tela,HOTSUMMER,SPORTS,Zapatillas running,43,zapatilla8.png,Nike,SPORTS/RUNNING
Zapatos formales,FEETS,Verde,Cuero,MEDIUM,VERYFORMAL,Zapatos para evento formal,43,zapato1.png,Puppies,ELEGANT_SPORT
Zapatos traje,FEETS,Negro,Cuero,MEDIUM,VERYFORMAL,Zapatos para evento formal,43,zapato2.png,Puppies,VERY_ELEGANT
